1,Stephen Curry,PG,27,GSW,0.504,0.454,0.566,0.908,0.9,4.6,6.7,2.1,0.2,3.3,30.1
2,James Harden,SG,26,HOU,0.439,0.359,0.494,0.86,0.8,5.3,7.5,1.7,0.6,4.6,29
3,Kevin Durant,SF,27,OKC,0.505,0.387,0.569,0.898,0.6,7.6,5,1,1.2,3.5,28.2
4,DeMarcus Cousins,C,25,SAC,0.451,0.333,0.473,0.718,2.4,9.1,3.3,1.6,1.4,3.8,26.9
5,LeBron James,SF,31,CLE,0.52,0.309,0.573,0.731,1.5,6,6.8,1.4,0.6,3.3,25.3
6,Damian Lillard,PG,25,POR,0.419,0.375,0.45,0.892,0.6,3.4,6.8,0.9,0.4,3.2,25.1
7,Anthony Davis,PF,22,NOP,0.493,0.324,0.511,0.758,2.1,8.1,1.9,1.3,2,2,24.3
8,DeMar DeRozan,SG,26,TOR,0.446,0.338,0.458,0.85,0.8,3.7,4,1,0.3,2.2,23.5
9,Russell Westbrook,PG,27,OKC,0.454,0.296,0.503,0.812,1.8,6,10.4,2,0.3,4.3,23.5
10,Paul George,SF,25,IND,0.418,0.371,0.447,0.86,1,6,4.1,1.9,0.4,3.3,23.1
11,Isaiah Thomas,PG,26,BOS,0.428,0.359,0.462,0.871,0.6,2.4,6.2,1.1,0.1,2.7,22.2
12,Klay Thompson,SG,25,GSW,0.47,0.425,0.51,0.873,0.4,3.4,2.1,0.8,0.6,1.7,22.1
13,Carmelo Anthony,SF,31,NYK,0.434,0.339,0.463,0.829,1.4,6.4,4.2,0.9,0.5,2.4,21.8
14,Blake Griffin,PF,26,LAC,0.499,0.333,0.504,0.727,1.5,6.9,4.9,0.8,0.5,2.4,21.4
15,Kawhi Leonard,SF,24,SAS,0.506,0.443,0.528,0.874,1.3,5.5,2.6,1.8,1,1.5,21.2
16,Kyle Lowry,PG,29,TOR,0.427,0.388,0.461,0.811,0.7,4,6.4,2.1,0.4,2.9,21.2
17,Jimmy Butler,SG,26,CHI,0.454,0.312,0.489,0.832,1.2,4.2,4.8,1.6,0.6,2,20.9
18,Kemba Walker,PG,25,CHO,0.427,0.371,0.459,0.847,0.7,3.7,5.2,1.6,0.5,2.1,20.9
19,C.J. McCollum,SG,24,POR,0.448,0.417,0.463,0.827,0.6,2.7,4.3,1.2,0.3,2.5,20.8
20,Andrew Wiggins,SF,20,MIN,0.459,0.3,0.486,0.761,1.3,2.3,2,1,0.6,2.2,20.7
21,Brook Lopez,C,27,BRK,0.511,0.143,0.515,0.787,2.8,5.1,2,0.8,1.7,2.4,20.6
22,Eric Bledsoe,PG,26,PHO,0.453,0.372,0.482,0.802,0.6,3.5,6.1,2,0.6,3.5,20.4
23,John Wall,PG,25,WAS,0.424,0.351,0.448,0.791,0.5,4.4,10.2,1.9,0.8,4.1,19.9
24,Gordon Hayward,SF,25,UTA,0.433,0.349,0.477,0.824,0.8,4.2,3.7,1.2,0.3,2.5,19.7
25,Kyrie Irving,PG,23,CLE,0.448,0.321,0.502,0.885,0.8,2.1,4.7,1.1,0.3,2.3,19.6
26,Brandon Knight,SG,24,PHO,0.415,0.342,0.461,0.852,0.7,3.2,5.1,1.2,0.4,3.4,19.6
27,Danilo Gallinari,SF,27,DEN,0.41,0.364,0.434,0.868,1,4.3,2.5,0.8,0.4,1.5,19.5
28,Chris Paul,PG,30,LAC,0.462,0.371,0.501,0.896,0.5,3.7,10,2.1,0.2,2.6,19.5
29,Chris Bosh,PF,31,MIA,0.467,0.365,0.508,0.795,0.9,6.5,2.4,0.7,0.6,1.5,19.1
30,Dwyane Wade,SG,34,MIA,0.456,0.159,0.468,0.793,1.1,3,4.6,1.1,0.6,2.7,19
31,Reggie Jackson,PG,25,DET,0.434,0.353,0.464,0.864,0.7,2.5,6.2,0.7,0.1,2.8,18.8
32,Dirk Nowitzki,PF,37,DAL,0.448,0.368,0.483,0.893,0.7,5.8,1.8,0.7,0.7,1.1,18.3
33,Karl-Anthony Towns,C,20,MIN,0.542,0.341,0.559,0.811,2.8,7.7,2,0.7,1.7,2.2,18.3
34,Khris Middleton,SG,24,MIL,0.444,0.396,0.466,0.888,0.6,3.3,4.2,1.7,0.2,2.3,18.2
35,Nikola Vucevic,C,25,ORL,0.51,0.222,0.512,0.753,2.7,6.2,2.8,0.8,1.1,1.9,18.2
36,LaMarcus Aldridge,PF,30,SAS,0.513,0,0.521,0.858,2.4,6.2,1.5,0.5,1.1,1.3,18
37,Kobe Bryant,SF,37,LAL,0.358,0.285,0.41,0.826,0.6,3.1,2.8,0.9,0.2,2,17.6
38,Jahlil Okafor,C,20,PHI,0.508,0.167,0.511,0.686,2.3,4.7,1.2,0.4,1.2,2.3,17.5
39,Bradley Beal,SG,22,WAS,0.449,0.387,0.481,0.767,0.7,2.7,2.9,1,0.2,2,17.4
40,Rudy Gay,SF,29,SAC,0.463,0.344,0.495,0.78,1.5,5,1.7,1.4,0.7,2,17.2
41,Paul Millsap,PF,30,ATL,0.47,0.319,0.512,0.757,2.4,6.6,3.3,1.8,1.7,2.4,17.1
42,Ryan Anderson,PF,27,NOP,0.427,0.366,0.466,0.873,2,4,1.1,0.6,0.4,1.4,17
43,Giannis Antetokounmpo,PG,21,MIL,0.506,0.257,0.537,0.724,1.4,6.2,4.3,1.2,1.4,2.6,16.9
44,Jrue Holiday,PG,25,NOP,0.439,0.336,0.478,0.843,0.4,2.6,6,1.4,0.3,2.6,16.8
45,Marc Gasol,C,31,MEM,0.464,0.667,0.463,0.829,1.1,5.8,3.8,1,1.3,2.3,16.6
46,Pau Gasol,C,35,CHI,0.469,0.348,0.478,0.792,2.2,8.9,4.1,0.6,2,2.3,16.5
47,Derrick Favors,PF,24,UTA,0.515,0,0.518,0.709,2.7,5.4,1.5,1.2,1.5,1.7,16.4
48,Derrick Rose,PG,27,CHI,0.427,0.293,0.449,0.793,0.7,2.7,4.7,0.7,0.2,2.7,16.4
49,J.J. Redick,SG,31,LAC,0.48,0.475,0.484,0.888,0.1,1.7,1.4,0.6,0.1,1,16.3
50,Andre Drummond,C,22,DET,0.521,0.333,0.522,0.355,4.9,9.9,0.8,1.5,1.4,1.9,16.2
51,Kevin Love,PF,27,CLE,0.419,0.36,0.467,0.822,1.9,8,2.4,0.8,0.5,1.8,16
52,Victor Oladipo,SG,23,ORL,0.438,0.348,0.475,0.83,0.7,4.1,3.9,1.6,0.8,2.1,16
